RUN	gatling_viade_es1c.visualize1user	visualize1user	1588332311617	 	3.3.1
REQUEST	14		request_9	1588332327277	1588332327316	OK	 
REQUEST	13		request_12	1588332327066	1588332327316	OK	 
REQUEST	13		request_21	1588332326693	1588332327355	OK	 
REQUEST	11		request_21	1588332325799	1588332327361	OK	 
REQUEST	14		request_10	1588332327278	1588332327442	OK	 
REQUEST	19		request_7	1588332327360	1588332327463	OK	 
REQUEST	14		request_11	1588332327278	1588332327590	OK	 
REQUEST	14		request_12	1588332327279	1588332327592	OK	 
REQUEST	14		request_14	1588332327279	1588332327620	OK	 
REQUEST	20		request_7	1588332327769	1588332327885	OK	 
REQUEST	15		request_8	1588332327402	1588332327887	OK	 
REQUEST	14		request_12	1588332327592	1588332327899	OK	 
REQUEST	15		request_15	1588332327888	1588332327899	OK	 
REQUEST	15		request_13	1588332327888	1588332327900	OK	 
REQUEST	15		request_20	1588332327899	1588332327913	OK	 
REQUEST	15		request_16	1588332327889	1588332327918	OK	 
REQUEST	15		request_18	1588332327891	1588332327927	OK	 
REQUEST	15		request_17	1588332327891	1588332327928	OK	 
REQUEST	15		request_19	1588332327893	1588332327929	OK	 
REQUEST	12		request_21	1588332326323	1588332327934	OK	 
REQUEST	15		request_9	1588332327893	1588332327979	OK	 
REQUEST	14		request_14	1588332327621	1588332327980	OK	 
REQUEST	14		request_14	1588332327980	1588332328113	OK	 
REQUEST	15		request_11	1588332327894	1588332328169	OK	 
REQUEST	15		request_12	1588332327895	1588332328172	OK	 
REQUEST	15		request_10	1588332327894	1588332328195	OK	 
REQUEST	16		request_8	1588332327919	1588332328206	OK	 
REQUEST	16		request_15	1588332328208	1588332328216	OK	 
REQUEST	16		request_13	1588332328207	1588332328216	OK	 
REQUEST	16		request_16	1588332328208	1588332328230	OK	 
REQUEST	16		request_17	1588332328208	1588332328231	OK	 
REQUEST	16		request_19	1588332328210	1588332328243	OK	 
REQUEST	16		request_20	1588332328216	1588332328244	OK	 
REQUEST	16		request_18	1588332328209	1588332328245	OK	 
REQUEST	16		request_9	1588332328210	1588332328476	OK	 
REQUEST	15		request_14	1588332327896	1588332328498	OK	 
REQUEST	15		request_12	1588332328172	1588332328541	OK	 
REQUEST	13		request_14	1588332327091	1588332328551	OK	 
REQUEST	16		request_10	1588332328211	1588332328588	OK	 
REQUEST	16		request_11	1588332328211	1588332328596	OK	 
REQUEST	15		request_14	1588332328499	1588332328617	OK	 
REQUEST	16		request_12	1588332328212	1588332328740	OK	 
REQUEST	17		request_8	1588332328431	1588332328749	OK	 
REQUEST	17		request_15	1588332328750	1588332328761	OK	 
REQUEST	17		request_13	1588332328750	1588332328762	OK	 
REQUEST	17		request_17	1588332328752	1588332328769	OK	 
REQUEST	17		request_16	1588332328750	1588332328770	OK	 
REQUEST	17		request_18	1588332328753	1588332328771	OK	 
REQUEST	17		request_19	1588332328754	1588332328774	OK	 
REQUEST	17		request_20	1588332328761	1588332328775	OK	 
REQUEST	16		request_14	1588332328212	1588332328780	OK	 
REQUEST	13		request_14	1588332328552	1588332328794	OK	 
REQUEST	17		request_9	1588332328754	1588332328806	OK	 
REQUEST	15		request_14	1588332328617	1588332328811	OK	 
REQUEST	16		request_12	1588332328741	1588332328959	OK	 
REQUEST	14		request_21	1588332327280	1588332328999	OK	 
REQUEST	16		request_14	1588332328781	1588332329015	OK	 
REQUEST	17		request_10	1588332328755	1588332329152	OK	 
REQUEST	18		request_8	1588332328869	1588332329159	OK	 
REQUEST	17		request_11	1588332328756	1588332329162	OK	 
REQUEST	17		request_12	1588332328756	1588332329166	OK	 
REQUEST	18		request_15	1588332329161	1588332329173	OK	 
REQUEST	18		request_13	1588332329160	1588332329174	OK	 
REQUEST	18		request_18	1588332329163	1588332329182	OK	 
REQUEST	18		request_16	1588332329161	1588332329182	OK	 
REQUEST	18		request_17	1588332329162	1588332329183	OK	 
REQUEST	18		request_20	1588332329173	1588332329183	OK	 
REQUEST	18		request_19	1588332329163	1588332329184	OK	 
REQUEST	17		request_14	1588332328756	1588332329193	OK	 
REQUEST	18		request_9	1588332329164	1588332329213	OK	 
REQUEST	16		request_14	1588332329016	1588332329216	OK	 
REQUEST	17		request_12	1588332329166	1588332329738	OK	 
REQUEST	15		request_21	1588332327896	1588332329775	OK	 
REQUEST	17		request_14	1588332329194	1588332329794	OK	 
REQUEST	18		request_11	1588332329166	1588332329806	OK	 
REQUEST	18		request_10	1588332329165	1588332329908	OK	 
REQUEST	19		request_8	1588332329472	1588332329944	OK	 
REQUEST	18		request_12	1588332329167	1588332329948	OK	 
REQUEST	19		request_13	1588332329945	1588332329962	OK	 
REQUEST	19		request_16	1588332329946	1588332329965	OK	 
REQUEST	19		request_15	1588332329945	1588332329965	OK	 
REQUEST	19		request_17	1588332329946	1588332329970	OK	 
REQUEST	19		request_19	1588332329947	1588332329975	OK	 
REQUEST	19		request_18	1588332329947	1588332329976	OK	 
REQUEST	18		request_14	1588332329168	1588332329980	OK	 
REQUEST	19		request_20	1588332329963	1588332329997	OK	 
REQUEST	19		request_9	1588332329948	1588332329999	OK	 
REQUEST	17		request_14	1588332329795	1588332330001	OK	 
REQUEST	16		request_21	1588332328213	1588332330037	OK	 
REQUEST	18		request_12	1588332329948	1588332330162	OK	 
REQUEST	20		request_8	1588332329889	1588332330182	OK	 
REQUEST	20		request_13	1588332330183	1588332330197	OK	 
REQUEST	18		request_21	1588332329169	1588332330199	OK	 
REQUEST	20		request_15	1588332330183	1588332330206	OK	 
REQUEST	20		request_20	1588332330198	1588332330211	OK	 
REQUEST	20		request_16	1588332330184	1588332330216	OK	 
REQUEST	20		request_17	1588332330185	1588332330217	OK	 
